"codigo";"denominacion_generica_es";"denominacion_generica_val";"denominacion_especifica";"denominacion";"regimen";"tipo_via";"direccion";"numero";"codigo_postal";"localidad";"provincia";"telefono";"fax";cod_edificacion;longitud;latitud;"titular";"cif";"comarca";"url_es";"url_va";fe_constitucion
"03000047";"COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA";"COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA";"CEIP LA RAMBLA";"CEIP LA RAMBLA";"PÚB.";"AVINGUDA";"DE ALCOY";"S/N";"03698";"AGOST";"ALICANTE/ALACANT";"966908135";;1;-0.635608;38.438389;"GENERALITAT VALENCIANA";"Q5355128I";"L'ALACANTÍ";"https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000047";"https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000047";
"03000060";"CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA";"CENTRE PRIVAT D'EDUCACIÓ INFANTIL I PRIMÀRIA";"CENTRE PRIVAT LA MILAGROSA";"CENTRE PRIVAT LA MILAGROSA";"PRIV. CONC.";"CARRER";"JUAN XXIII";"2";"03698";"AGOST";"ALICANTE/ALACANT";"965691143";;1;-0.637196;38.435035;"PARROQUIA DE SAN PEDRO DE AGOST";"R0300117I";"L'ALACANTÍ";"https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000060";"https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000060";
"03000096";"COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA";"COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA";"CEIP MIRADOR D'AIGÜES";"CEIP MIRADOR D'AIGÜES";"PÚB.";"AVINGUDA";"DEL DOCTOR SAPENA";"S/N";"03569";"AIGÜES";"ALICANTE/ALACANT";"966908140";;1;-0.365124;38.500573;"GENERALITAT VALENCIANA";"Q5355126C";"L'ALACANTÍ";"https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000096";"https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000096";
"03000138";"COLEGIO DE EDUCACIÓN PRIMARIA";"COL·LEGI D'EDUCACIÓ PRIMÀRIA";"CEP VIRGEN DEL ROSARIO";"CEP VIRGEN DEL ROSARIO";"PÚB.";"CARRER";"CALVARIO";"70";"03340";"ALBATERA";"ALICANTE/ALACANT";"966912020";;1;-0.875071;38.183887;"GENERALITAT VALENCIANA";"Q5355176H";"EL BAIX SEGURA/LA VEGA BAJA";"https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000138";"https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000138";
"03000151";"COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA";"COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA";"CEIP JESÚS SÁNCHEZ";"CEIP JESÚS SÁNCHEZ";"PÚB.";"CARRER";"SALVADOR";"1";"03349";"SAN ISIDRO";"ALICANTE/ALACANT";"966912015";;1;-0.837016;38.17326;"GENERALITAT VALENCIANA";"Q5355315B";"EL BAIX SEGURA/LA VEGA BAJA";"https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000151";"https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000151";
"03000230";"COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA";"COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA";"CEIP EL ROMERAL";"CEIP EL ROMERAL";"PÚB.";"CARRER";"MESTRE RIBERA MONTÉS";"10";"03802";"ALCOI";"ALICANTE/ALACANT";"966527820";;1;-0.487636;38.695844;"GENERALITAT VALENCIANA";"Q5355047A";"L'ALCOIÀ";"https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000230";"https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000230";
"03000266";"COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA";"COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA";"CEIP SAN VICENTE";"CEIP SAN VICENTE";"PÚB.";"CARRER";"SAN VICENTE";"50";"03801";"ALCOI";"ALICANTE/ALACANT";"966527825";;1;-0.472831;38.690266;"GENERALITAT VALENCIANA";"Q5355109I";"L'ALCOIÀ";"https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000266";"https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000266";
"03000308";"CENTRO DE EDUCACIÓN ESPECIAL";"CENTRE D'EDUCACIÓ ESPECIAL";"CEE PÚB. TOMÀS LLÀCER";"CEE PÚB. TOMÀS LLÀCER";"PÚB.";"CARRER";"PERIÓDICO CIUDAD";"4";"03801";"ALCOI";"ALICANTE/ALACANT";"966527830";;1;-0.481172;38.70443;"GENERALITAT VALENCIANA";"Q5355174C";"L'ALCOIÀ";"https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000308";"https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000308";
"03000345";"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA";"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA";"CENTRE PRIVAT JOSÉ ARNAUDA";"CENTRE PRIVAT JOSÉ ARNAUDA";"PRIV. CONC.";"CARRER";"PADRE POVEDA";"1";"03804";"ALCOI";"ALICANTE/ALACANT";"965330358";"965333264";1;-0.470953;38.705883;"PARROQUIA DE NUESTRO SAGRADO CORAZÓN DE JESÚS.";"R0300048F";"L'ALCOIÀ";"https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000345";"https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000345";
"03000357";"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA";"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA";"CENTRE PRIVAT LA PRESENTACIÓN";"CENTRE PRIVAT LA PRESENTACIÓN";"PRIV. CONC.";"CARRER";"PINTOR CASANOVA";"22";"03801";"ALCOI";"ALICANTE/ALACANT";"965544702";"965545623";1;-0.473228;38.699059;"FUNDACIÓN VEDRUNA EDUCACIÓN";"G87804688";"L'ALCOIÀ";"https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000357";"https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000357";
"03000382";"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA";"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA";"CENTRE PRIVAT ESCLAVES SCJ ALCOI";"CENTRE PRIVAT ESCLAVES SCJ ALCOI";"PRIV. CONC.";"CARRER";"ARZOBISPO DOMENECH";"19";"03804";"ALCOI";"ALICANTE/ALACANT";"965520616";"966522020";1;-0.464162;38.708344;"FUNDACIÓN EDUCATIVA ACI";"G86621927";"L'ALCOIÀ";"https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000382";"https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000382";
"03000394";"INSTITUTO DE EDUCACIÓN SECUNDARIA";"INSTITUT D'EDUCACIÓ SECUNDÀRIA";"IES PARE VITÒRIA";"IES PARE VITÒRIA";"PÚB.";"AVINGUDA";"DE ELCHE";"15";"03801";"ALCOI";"ALICANTE/ALACANT";"966528115";;1;-0.475878;38.687524;"GENERALITAT VALENCIANA";"Q5355169C";"L'ALCOIÀ";"https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000394";"https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000394";
"03000400";"INSTITUTO DE EDUCACIÓN SECUNDARIA";"INSTITUT D'EDUCACIÓ SECUNDÀRIA";"IES COTES BAIXES";"IES COTES BAIXES";"PÚB.";"POLÍGON";"COTES BAIXES";"S/N";"03804";"ALCOI";"ALICANTE/ALACANT";"966528110";;1;-0.463346;38.713786;"GENERALITAT VALENCIANA";"Q5355168E";"L'ALCOIÀ";"https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000400";"https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000400";
"03000424";"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA";"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA";"CENTRE PRIVAT SALESIANOS JUAN XXIII";"CENTRE PRIVAT SALESIANOS JUAN XXIII";"PRIV. CONC.";"CARRER";"SAN JUAN BOSCO";"37";"03804";"ALCOI";"ALICANTE/ALACANT";"965332640";"965523197";1;-0.462327;38.708595;"CASA SALESIANA DE SAN JOSÉ (ESCUELAS SALESIANAS JUAN XXIII)";"R0300264I";"L'ALCOIÀ";"https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000424";"https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000424";
"03000448";"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA";"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA";"CENTRE PRIVAT LA SALLE";"CENTRE PRIVAT LA SALLE";"PRIV. CONC.";"CARRETERA";"CHORRADOR";"1";"03803";"ALCOI";"ALICANTE/ALACANT";"966540010";"966526412";1;-0.478487;38.707147;"HERMANOS DE LAS ESCUELAS CRISTIANAS";"R0300266D";"L'ALCOIÀ";"https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000448";"https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000448";
